Site_Name,Latitude,Longitude,C14_date,Std_dev,Lab_Code,Material_Dated,Reference,cal_curve,Orginal_Compiler,Notes
Esp�ritu Pampa,-13.0564,-74.20198,1378,36,AA100018,carbon,Santa_Cruz_&_Bauer_2013,shcal13,Zondervan and Flantua,None
"Pancan, (Ninacanya)",-11.44,-75.29,1625,35,PITT244,unknown,"Radiocarbon Database for Bolivia, Equador and Peru. Mariusz S. Zi�?kowski, Mieczys?aw F. Pazdur, Andrzej Krzanowski, Adam Michczy?ski",unknown,Zondervan,None
Placitu Mayu,-19.62,-64.43,1675,80,UA-10238,Human bone,de Souza et al 2020 Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion,shcal13,Sales,None
Wari-Wilka,-12.12,-75.1,1690,50,SI488,wood,"Radiocarbon Database for Bolivia, Equador and Peru. Mariusz S. Zi�?kowski, Mieczys?aw F. Pazdur, Andrzej Krzanowski, Adam Michczy?ski",shcal13,Zondervan,None
Kotosh,-9.930964,-76.279822,1880,200,N62,charcoal,"Radiocarbon Database for Bolivia, Equador and Peru. Mariusz S. Zi�?kowski, Mieczys?aw F. Pazdur, Andrzej Krzanowski, Adam Michczy?ski",shcal13,Zondervan,None
Pirincay,-2.52,-78.46,2060,60,Q_3162,unknown,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Marcavalle PCz 6_45,-13.32,-71.57,2096,51,P_1561,charcoal,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Ccollpa,-11.2,-75.833333,2100,150,Gif-3483,charcoal,Ziolkowski et al 1994,shcal13,Riris,None
Huapula,-2.268563,-78.118159,2160,80,Beta-89267,charcoal,Ziolkowski et al 1994,shcal13,Riris,None
Uchucay,-4.020695,-79.186664,2242,48,BM_899,charcoal,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Montegrande_pyramid,-5.715904,-78.793611,2370,30,N/A-N/A, ,Olivera 2014; Arqueolog�a Alto Amaz�nica. Los Origenes de la Civilizati�n en el Per�.,shcal13,Riris,None
Pacopampa,-6.2,-79.01,2385,155,SI_794,charcoal,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Cruzpata,-17.3,-66,2400,80,Tx_1818B,apatite,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Huillca Raccay,-13.1,-72.25,2480,50,BM_2570,collagen,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Sajara_patac,-9.83417,-76.13583,2490,30,Tka_13676,charcoal,Matsumoto_&_Tsurumi_2011,shcal13,Zondervan and Flantua,Dates_bad
El Guayabo,0.4626547,-77.6444443,2520,70,CEEA-162,charcoal,"Bola??os et al. n.d. cited in Valdez, F. 2013, pp. 25; Valdez 2013 is Primeras Sociedades de la Alta Amazon�a",shcal13,"Riris, widespread holocene paper",None
Laguna Paca,-11.731278,-75.505594,2550,80,WIS1942,other organic lake sediment,"Radiocarbon Database for Bolivia, Equador and Peru. Mariusz S. Zi�?kowski, Mieczys?aw F. Pazdur, Andrzej Krzanowski, Adam Michczy?ski",shcal13,Zondervan,None
Loma Tello,-1.04,-78.34,2590,140,GX_16563,charcoal,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Baeza-Mamallacta BA-7,-0.459639,-77.892108,2600,100,SI-592, ,Porras 1975,shcal13,Riris,None
La Pampa,-8.41,-77.54,2620,70,TK_176,charcoal,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Pikicallepata PCz 5_50,-14.08,-71.25,2627,48,P_1589,charcoal,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Ambato,-1.14,-78.42,2630,80,BONN_1550,charcoal,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Wichqana,-13.17218,-74.21642,2650,95,S_598,charcoal,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Campanayuq Rumi,-13.651886,-73.957817,2706,56,AA87452,wood,Matsumoto & Palomino 2012,shcal13,Riris,None
Upano,-2.208179,-78.063877,2750,150,Nishima-3870, ,Marcos & Obelic 1998,shcal13,Riris,None
Chaullabamba,-2.851729,-78.902565,2800,48,BM_906,charcoal,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Huancarani,-18.573885,-65.633333,3160,110,GaK-1037,wood,Gayo et al 2015,shcal13,Riris,None
Putushio,-3.28,-79.11,3210,180,Hv_16799,charcoal,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Chanapata,-13.28,-72.01,3330,240,GX_203,charcoal,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Curuqaqa,-10.55,-76.2,3420,60,Ny_234,charcoal,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Waywaka,-13.66174,-73.386209,3440,110,UCLA-1971-1808J,charcoal,Grossman 2013,shcal13,Riris,None
Mamallacta,-0.3,-77.5,3445,140,SI_685,charcoal,Ziolkowski_et_al_1994,intcal13,Zondervan and Flantua,Cuenca
Colina Moravia,-1.853656,-78.0616599,3460,30,Beta-324360,charcoal,"Arroyo-Kalin, M. 2014 mentioned (unpublished)",shcal13,Riris,None
Telarmachay,-11.183,-75.867,3470,100,,charcoal,Ziolkowski_et_al_1994,shcal13,Goldberg,None
Piruru (Tantamayo),-9.394596,-76.718528,3710,100,Gif-7987,charcoal,Ziolkowski et al 1994,shcal13,Riris,None
Cerro Narrio,-2.614691,-78.947357,3928,60,BM-896,charcoal,Ziolkowski et al 1994,shcal13,Riris,None
El Remanso,-3.252702,-78.688283,4030,40,Beta-179721,ceramics,"Ledergerber-Crespo, P. 2006 cited in Becerra 1998 and cited in Morcote Rios, Mora Camargo & Calvo 2006, pp. 152",shcal13,Riris,None
Cuchimachay,-10.55,-76.22,5580,80,Ny_237,charcoal,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Puente Ac 158,-13.08,-74.13,6670,120,I5132,carbon,"Radiocarbon Database for Bolivia, Equador and Peru. Mariusz S. Zi�?kowski, Mieczys?aw F. Pazdur, Andrzej Krzanowski, Adam Michczy?ski",shcal13,Zondervan,None
Uchcumachay,-11.334167,-75.876389,6670,140,OxA_510,bone,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,caves_RADIOCARBON_DATES_FROM_THE_OXFORD_AMS_SYSTEM_ARCHAEOMETRY_DATELIST_3
Quebrada Chalan,-1.75,-78.66598,6900,250,BM_1584,bone,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,a-computer-based-database-for-radiocarbon-dates-of-central-andean-archaeology
Puente(Ac158),-13.133333,-74.216667,7160,125,I5054,Charcoal,"MacNeish,_R.S.,_Cook,_A.G.,_Lumbreras,_L.G.,_Vierra,_R.K.,_Nelken_Turner,_A.,_1981. Prehistory_of_the_Ayacucho_Basin,_Peru._In:_Excavations_and_Chronology,_vol._II.University_of_Michigan_Press,_Ann_Arbor.",shcal13,Zondervan,XRF_obsidian_analysis_from_Ayacucho_Basin_in_Huamanga_province_south_eastern_Peru
Laguna Tipicocha,-11.45,-75.13,7320,80,WIS1985,other lake sediment,"Radiocarbon Database for Bolivia, Equador and Peru. Mariusz S. Zi�?kowski, Mieczys?aw F. Pazdur, Andrzej Krzanowski, Adam Michczy?ski",shcal13,Zondervan,None
Ayamachay _Ac_102_,-13.04,-74.229,7560,125,I_5694,Charcoal,Rademaker_K._Bromley_G.R._and_Sandweiss_D.H._2013._Peru_archaeological_radiocarbon_database_13000_7000_14_C_BP._Quaternary_International_301_pp.34_45.,shcal13,Zondervan and Flantua,None
Lauricocha Cave L_2,-10.31646,-76.66077,7871,30,MAMS_14731,bone,Fehren_Schmitz_et_al_2015,shcal13,Zondervan and Flantua,None
Lauricocha,-10.31102,-76.69176,8140,140,I_?,n_a,Lindauer_et_al_2015,shcal13,Zondervan and Flantua,None
Lauricocha(L2),-10.283333,-76.666667,9525,260,I107,Charcoal_mixed_with_burned_and_unburned_bone,Cardich_1960,shcal13,Zondervan,None
Jaywamachay(Ac335),-13.216667,-74.383333,9560,170,I5695,Charcoal_(and_ash)_,"MacNeish,_R.S.,_Cook,_A.G.,_Lumbreras,_L.G.,_Vierra,_R.K.,_Nelken_Turner,_A.,_1981. Prehistory_of_the_Ayacucho_Basin,_Peru._In:_Excavations_and_Chronology,_vol._II. University_of_Michigan_Press,_Ann_Arbor.",shcal13,Zondervan,None
Huargo,-9.51,-76.48,13460,700,BVA-8,bone animal bones,"Radiocarbon Database for Bolivia, Equador and Peru. Mariusz S. Zi�?kowski, Mieczys?aw F. Pazdur, Andrzej Krzanowski, Adam Michczy?ski",shcal13,Zondervan,cave_i_think_ok
Pikimachay,-13.03805,-74.228131,14150,180,I_1464,bone,Ziolkowski_et_al_1994,shcal13,Zondervan and Flantua,None
Cueva Negra de Chobshi,-3.0244,-78.80815,NA,NA,SI-1505,,"Ziolkowski, M. S., Pazdur, M., Krzanowski, A., Michczynski, A. (1994). Andes radiocarbon database for Bolivia, Ecuador, and Peru. Varsovia-Gliwice, Andean archaeological mission of the Institute of Archaeology/Warsaw University Gliwice Radiocarbon Laboratory of the Institute of Physics, Silesian Technical University.",,Gonzalez Arango and Flantua,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO PREHISPANICO CARHUACOCHA CERRO TOSCANA,-10.18310199,-76.80368582,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO PREHISPANICO COCANMACHAY HUAYLLAPAMPA,-10.12249459,-76.83824386,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO PREHISPANICO ICHIQMONTE PATOCOCHA,-10.10439095,-76.87766111,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO PREHISPANICO ICHIQMONTE PATOCOCHA,-10.00095996,-76.9321927,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO CARBON MINA,-10.09572494,-76.88658737,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ICHIQMONTE,-10.0013229,-76.93351719,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO NUEVA PALESTINO,-9.768113362,-76.82245637,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO BARRIO RAGRE,-9.492047265,-76.87692441,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PUNCHAHUARAJ,-9.561636878,-76.841811,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QUELLANCANCHA,-9.845746947,-76.80484034,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO INCA CUCHITAMBOCORRAL - PALLAHUACHANGA 2,-9.192249699,-77.18132024,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO INCA PARIACHUCO - TAULLI (F),-8.322945548,-77.82319994,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO INCA PUEBLO VIEJO - CRUZ DE ACERO,-8.699320962,-77.53770951,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO LA HUACA DE GUALLACAN,-5.993440508,-79.04772441,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO PIEDRA DEL CHOLOQUITO,-5.692315607,-79.04806355,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO EL COLISEO,-5.651071375,-79.07027794,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RACUAY – SANTA ROSA,-9.774739559,-76.84266135,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SANTA ROSA,-9.77123654,-76.84514832,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SHINGUA,-9.486674,-76.9059882,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CAMINO INCA ESTANQUE,-9.812632973,-76.88922779,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CAMINO INCA ISCOPAMPA 2,-9.935740515,-76.82050459,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CAMINO INCA NUEVA JERUSALEN,-9.827461971,-76.87398954,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LA TOMA,-6.080609659,-79.01643244,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO YACUJITANAN,-9.555974042,-76.82534984,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CARMEN GRANDE DE QUILLIN,-9.790197068,-76.81774612,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CASHAS,-9.594654186,-76.80539813,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHUPANCANCHA,-9.504090545,-76.87492287,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO COCHABAMBA,-9.793344412,-76.81243131,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUAMANCHACRA,-9.491264172,-76.86614772,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUARICASHASAH,-9.844314855,-76.86706555,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHALHUAPUQUIO,-10.31252749,-76.82198227,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO ANDACHUPA,-9.846007492,-76.88782208,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO COLPA,-9.858322598,-76.84486482,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LLACUY,-9.553237482,-76.80578962,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MALLCA ALLPA,-9.532786988,-76.81290412,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MOLINO LABRASH,-9.533795684,-76.87175166,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO OGSHASH,-9.581075388,-76.85505021,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PEROLMACHAY,-9.522130736,-76.84859301,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PINCUYOJ,-9.450730333,-76.84507833,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PLAZA PAMPA O HATUN PAQAQ,-9.45250585,-76.81313763,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QUEROSH,-9.517148602,-76.82644562,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SONGO MARCA,-9.576413868,-76.82374651,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TACAJ,-9.4534141,-76.80881736,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TARICAY MARCA,-9.551139089,-76.80945816,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO USHNU,-9.5850183,-76.83782898,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO YANAJ,-9.561849832,-76.84256811,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO YANAMARCA,-9.440425437,-76.82754215,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO YURAJMARCA,-9.435537157,-76.82529483,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CASHA CORRAL,-9.534814175,-76.84350654,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CASHAMARCA,-9.538232333,-76.85015508,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CASHASH,-9.42058193,-76.82572605,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHIURUCO,-9.533039024,-76.85773161,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HATUN USHNU O CAMPANA USHNU,-9.524892167,-76.8255032,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUAGRISH,-9.515663141,-76.84759292,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO HUARAYRRAGRA,-9.54365428,-76.81798899,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUARI JIRCA,-9.576833371,-76.82649041,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUERGA,-9.552489412,-76.80708811,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ICHIC USHNU,-9.52366064,-76.82933985,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO JOCOTO MACHAY,-9.408914055,-76.8268119,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO KIRU KIRU PAGALANAN,-9.473832617,-76.89011939,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ATASH,-9.481773173,-76.82472829,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MINOJ O SHACUS,-9.414730586,-76.81387799,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO OCSHURO,-9.504884273,-76.85493861,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO PINTURA RUPESTRE PISHTARRAGRA I,-9.488661564,-76.83863338,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO PINTURA RUPESTRE TUCU MACHAY,-9.494624509,-76.81162846,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO POTGA RAGRA,-9.45654352,-76.91427137,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CACHUPIN RUMI I,-9.48141574,-76.87865129,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PUYAJ,-9.48390314,-76.80448758,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RAGUA,-9.518382416,-76.85985621,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SACAYHUAPUNTA,-9.496715618,-76.83019832,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SAGAJ,-9.381936653,-76.8128515,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SAMBRUG O CAMPANA JIRCA,-9.506037295,-76.8488981,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TAURIWAIN,-9.514187878,-76.81169496,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO USHCUMACHAY,-9.562243242,-76.815929,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WILAJIRCA,-9.503655385,-76.85141691,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WISCACHAYOC,-9.469078054,-76.8182053,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO YACHIS,-9.460407966,-76.86477002,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO YANAMACHAY,-9.455174456,-76.82851227,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CARHUA,-9.356587572,-76.81624275,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CASHAQUILLO O AUIKI,-9.380482568,-76.80372232,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CASTILLO DE TUCUMACHAY O GORIYO,-9.491858038,-76.81164125,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUAISH,-9.528075417,-76.86628359,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUANCA,-9.529145689,-76.8246424,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUATA,-9.357579069,-76.8097485,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO ICHAY PINTASH O YACHAY PINTASH,-9.489237768,-76.80785749,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO INCA TAPARAKO - HUAMANIN,-9.687697955,-76.91883706,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO PREHISPANICO QUEBRADA TORRES HORNILLOS,-9.853751714,-77.03306454,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO PREHISPANICO QUEBRADA TORRES HORNILLOS,-9.93155946,-76.95289124,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO PREHISPANICO HUAGUTO TAMBO,-9.647959306,-76.94125898,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO PREHISPANICO HUAGUTO TAMBO,-9.643176668,-76.95733753,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SAN CRISTOBAL DE TAMBOS,-9.423291512,-77.01839855,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TAMBILLOS,-9.45848704,-77.07495876,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TAULLI,-9.487659072,-77.04844741,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TORRE DE JATO VIEJO,-9.409779647,-77.07257381,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO AHUAC PUNTA,-9.48407551,-77.03673538,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CORRALES DE LOS DIAZ,-9.685239202,-77.06815889,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO COMETAJIRCA,-9.296012221,-77.07530117,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PISHGUMACHAY,-9.291070502,-77.07327725,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO CERRO QUEHUANJIRCA,-9.492584837,-77.03151371,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO INCAHUARACAS 1,-9.621053387,-76.95627182,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO INCAHUARACAS 2,-9.603409899,-76.95749117,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO INCA TAPARAKO - HUAMANIN,-9.531656635,-76.99967187,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CAMINO INCA HUAMANIN - TAMBO DE SOLEDAD,-9.53496228,-77.00174009,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO AGUA NEGRA,-7.843242671,-77.9216716,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO CHAMIS,-7.811917834,-77.98541665,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO COLLASGON,-7.810474064,-77.97750744,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO LA CRUZ,-7.843380592,-77.92002371,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CORRAL COLORADO,-7.845815578,-77.94137607,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LOS ALISOS 1,-7.762588192,-77.55819819,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PAMPA DE ROSAS 1,-7.760035821,-77.57084018,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PAMPA DE ROSAS 2,-7.759972182,-77.57090322,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHALAN,-8.183769103,-77.68298801,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LAS HUACAS DE SANTA MARIA,-8.031225083,-77.46231265,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MIRAFLORES,-8.02607547,-77.45899938,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PLATAFORMA A SANTA MARIA,-8.033177212,-77.46230628,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO PLATAFORMA BULDIBUYO,-8.129204992,-77.40565158,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO USHNU,-8.034149798,-77.45078778,NA,NA,NA,NA,SIGDA,,Sales,
